,Entity Name,Entity Type,has_co,has_digit_num,has_city_list2,comma,other_punc,word_count,encoded_langs
0,Habib Afghan Road and Construction Company,Company,1,0,0,False,False,6,12
1,Aziz Construction Company,Company,1,0,0,False,False,3,12
2,Musawir Najib Ltd,Company,1,0,0,False,False,3,12
3,Bamyan Central Hospital,Company,1,0,0,False,False,3,12
4,Sadat Zohori Construction and Road Building Company,Company,1,0,0,False,False,7,12
5,Al Mostahan Construction Co,Company,1,0,0,False,False,4,12
6,Umeer Star Construction Company,Company,1,0,0,False,False,4,12
7,Green Villiage Hospitality,Company,1,0,0,False,False,3,12
8,Millie Bus,Company,0,0,0,False,False,2,12
9,Shams Welfare Foundation,Company,0,0,0,False,False,3,12
10,Stratex Limited,Company,1,0,0,False,False,2,12
11,Fil-Tech Engineering and Construction Company (Fil-Tech),Company,1,0,0,False,True,8,12
12,ABDUL MALIK JAN CONSTRUCTION COMPANY,Company,1,0,0,False,False,5,12
13,JAMAAT-UL-AHRAR(JuA),Company,1,0,0,False,True,3,12
14,Wazir Akbar Khan Hospital,Company,1,0,0,False,False,4,12
15,Maidan Wardak Hospital,Company,1,0,0,False,False,3,12
16,Hanif Computer Zone (HCZ),Company,1,0,0,False,True,4,12
17,Amir Khusrou Balkhi Library,Company,0,0,0,False,False,4,12
18,Shams London Academy,Company,0,0,1,False,False,3,12
19,Qala-i-Naw District Hospital,Company,1,0,0,False,True,5,12
20,Belle Air Sh.P.K. - Shoqeri Ne Procedure Falimenti,Company,0,0,0,False,True,11,12
21,Albtelecom Sh.a.,Company,1,0,0,False,True,3,12
22,S-Agolli group,Company,0,0,0,False,True,3,12
23,Regli Sh.p.k,Company,1,0,0,False,True,4,12
24,Instituti i Sigurimeve sh.a.,Company,1,0,0,False,True,5,12
25,Apollonia Investments Sh.p.k,Company,1,0,0,False,True,5,12
26,Tipografia Ushtarake Sh.a.,Company,1,0,0,False,True,4,12
27,Bankers Petroleum Albania,Company,0,0,1,False,False,3,12
28,K.F.Oriku,Company,0,0,0,False,True,3,12
29,DEA DHV Sh.p.k.,Company,1,0,0,False,True,5,12
30,EGL Albania,Company,0,0,1,False,False,2,12
31,Rei 2012 sh.p.k,Company,1,1,0,False,True,5,12
32,Intereuropa Global Logistics Service Albania shpk,Company,1,0,1,False,False,6,12
33,Albanian travel guide,Company,0,0,1,False,False,3,12
34,Prodhim Këpuca Korçë,Company,0,0,0,False,False,3,12
35,A-A Konstruksion,Company,0,0,0,False,True,3,12
36,Albanian Adventure Resort,Company,0,0,1,False,False,3,12
37,Dini 2009,Company,0,1,0,False,False,2,12
38,Al-Haramain (Albanian branch),Company,1,0,1,False,True,4,12
39,Petrol Slovenia Tirana Distribution,Company,0,0,1,False,False,4,12
40,EPE SOUDATEC,Company,0,0,0,False,False,2,12
41,EPTR Centre,Company,0,0,0,False,False,2,12
42,Entreprise Algérienne de Génie Rural,Company,0,0,0,False,False,5,12
43,Office de Promotion et de Gestion Immobilière - Sidi Bel Abbès (OPGI),Company,1,0,0,False,True,12,12
44,ArcelorMittal Algérie,Company,0,0,0,False,False,2,12
45,Entreprise Portuaire de Ghazaouet SPA,Company,1,0,0,False,False,5,12
46,EPE Entreprise de Fabrication de Grillage et de Gabions Grigadem,Company,0,0,0,False,False,10,12
47,EPE Entreprise d'Exploitation des Mines d'Or,Company,0,0,0,False,True,6,12
48,Ediv Tiaret,Company,0,0,0,False,False,2,12
49,Entreprise Public du Transport Urbains d'Oran,Company,0,0,1,False,True,6,12
50,Société des Mines de Fer,Company,0,0,0,False,False,5,12
51,Office de Promotion et de Gestion Immobilière - Tamanrasset,Company,0,0,0,False,True,9,12
52,EPIC A.L.G.R.F.U. ECH-CHAIBA,Company,0,0,0,False,True,9,12
53,Société Nationale des Tabacs et Allumettes,Company,0,0,0,False,False,6,12
54,Easrm,Company,0,0,0,False,False,1,12
55,SETIRAIL,Company,0,0,0,False,False,1,12
56,Ferme Pilote Maarif,Company,0,0,0,False,False,3,12
57,EPE Entreprise Nationale du Sucre,Company,0,0,1,False,False,5,12
58,Baticim,Company,0,0,0,False,False,1,12
59,EPE Entreprise d'Etude et de Réalisation des Projets de Sédérurgie et de Metallurgie,Company,0,0,0,False,True,13,12
60,Luó - Sociedade Mineira Camatchia-Camagico,Company,0,0,0,False,True,6,12
61,Dragagem Angola Serviços Lda,Company,1,0,1,False,False,4,12
62,Finibanco Angola,Company,0,0,1,False,False,2,12
63,Nazaki Oil & Gas,Company,0,0,0,False,True,4,12
64,ZOOMLION ANGOLA LIMITADA,Company,0,0,0,False,False,3,12
65,Televisão Pública de Angola,Company,1,0,1,False,False,4,12
66,Novagrolider,Company,0,0,0,False,False,1,12
67,Golfrate Distribution,Company,0,0,0,False,False,2,12
68,Damer Industries,Company,0,0,0,False,False,2,12
69,Empresa de Listas Telefónicas de Angola,Company,0,0,1,False,False,6,12
70,Sonadiets,Company,0,0,0,False,False,1,12
71,Angola Telecom E.P.,Company,1,0,1,False,True,4,12
72,Eni Angola Production B.V.,Company,1,0,1,False,True,5,12
73,"Nova Sociedade de Seguros de Angola, S.A.",Company,1,0,1,True,True,8,12
74,Empresa Nacional de Correios e Telégrafos de Angola,Company,0,0,1,False,False,8,12
75,Empresa Nacional de Pontes,Company,0,0,0,False,False,4,12
76,Angola Exploration Mining Resources,Company,0,0,1,False,False,4,12
77,Golfrate Holdings (Angola) Lda,Company,1,0,1,False,True,4,12
78,"Multitel - Serviços de Telecomunicações, Lda.",Company,1,0,0,True,True,7,12
79,ANGO-RE,Company,0,0,0,False,True,2,12
80,Jit S.A.,Company,1,0,0,False,True,3,12
81,Mar del Plata Transervice S.R.L.,Company,1,0,1,False,True,7,12
82,Alquimaq S.R.L.,Company,1,0,0,False,True,4,12
83,Volkswagen Credit Compañía Financiera,Company,0,0,0,False,False,4,12
84,Grupo Banco Provincia,Company,0,0,0,False,False,3,12
85,HSBC Bank Argentina,Company,0,0,1,False,False,3,12
86,MetroGas S.A. (MGAS),Company,1,0,0,False,True,4,12
87,Integración Energética Argentina,Company,0,0,1,False,False,3,12
88,Madaco,Company,0,0,0,False,False,1,12
89,Zafra,Company,0,0,0,False,False,1,12
90,"Hospital de Emergencias ""Dr. Clemente Álvarez""",Company,1,0,0,False,True,6,12
91,Chevron Argentina,Company,0,0,1,False,False,2,12
92,Agro Aceitunera,Company,0,0,0,False,False,2,12
93,Beaufort Shipping Agency Argentina,Company,0,0,1,False,False,4,12
94,Brurin,Company,0,0,0,False,False,1,12
95,Condominio Máximo Carlos Kirchner y Florencia Kirchner,Company,0,0,0,False,False,7,12
96,Terminales Marítimas Patagónicas,Company,0,0,0,False,False,3,12
97,Supermercados Toledo S.A.,Company,1,0,1,False,True,4,12
98,Ecotierra,Company,0,0,0,False,False,1,12
99,Ferrocentral,Company,0,0,0,False,False,1,12
100,Sil Insurance,Company,0,0,0,False,False,2,12
101,Krtutyun Terti Khmbagrutyun Pak Bazhnetirakam Ynkerutyun,Company,0,0,0,False,False,6,12
102,Hydro Construction Company,Company,1,0,0,False,False,3,12
103,MSH Avtoznnum LLC,Company,1,0,0,False,False,3,12
104,Ninela Ltd,Company,1,0,0,False,False,2,12
105,Agrochemical Service SNCO,Company,1,0,0,False,False,3,12
106,State Forest Monitoring Center SNCO,Company,0,0,0,False,False,5,12
107,Spayka,Company,0,0,0,False,False,1,12
108,Zvartnots Handling CJSC,Company,0,0,0,False,False,3,12
109,Markel Closed Joint Stock Company,Company,1,0,0,False,False,5,12
110,Armenian State Jazz Orchestra State Non Commercial Organization,Company,0,0,1,False,False,8,12
111,Scientific Centre of Drug And Medical Technology Expertise after Academic E. Gabrielyan JSC,Company,0,0,0,False,True,13,12
112,Abovyan Maternity Hospital State,Company,1,0,0,False,False,4,12
113,Sisian Cargo and Passenger Car Transportation,Company,0,0,0,False,False,6,12
114,General Manvel Grigoryan Benevolent Fund,Company,0,0,0,False,False,5,12
115,Zeytun Furniture Factory,Company,0,0,0,False,False,3,12
116,Republican Speleotherapeutic Center Closed Joint-Stock Company,Company,1,0,0,False,True,7,12
117,Yerevan Railway Polyclinic Closed Joint-Stock Company,Company,1,0,1,False,True,7,12
118,ED-HAK Ltd,Company,1,0,0,False,True,3,12
119,GNC-Alfa,Company,0,0,0,False,True,2,12
120,Southcorp Limited,Company,1,0,0,False,False,2,12
121,Sargon Capital,Company,1,0,0,False,False,2,12
122,Barrick (Lawlers),Company,1,0,0,False,True,2,12
123,VGC Food Group Pty. Ltd.,Company,1,0,0,False,True,5,12
124,Arafura Resource Limited,Company,1,0,0,False,False,3,12
125,Rural Funds,Company,0,0,0,False,False,2,12
126,Rice Marketing Board for the State of New South Wales,Company,0,0,0,False,False,10,12
127,Wild Child WA Pty Ltd.,Company,1,0,0,False,True,5,12
128,Ingenico International (Pacific) Pty Ltd,Company,1,0,0,False,True,5,12
129,Aurukun Alumina Refinery,Company,0,0,0,False,False,3,12
130,2020 Accountancy Solutions,Company,0,1,0,False,False,3,12
131,Dental Horizons,Company,0,0,0,False,False,2,12
132,KCRAM,Company,0,0,0,False,False,1,12
133,Delron Cleaning,Company,0,0,0,False,False,2,12
134,Music Choice Australia Pty Ltd,Company,1,0,1,False,False,5,12
135,Snowy Hydro Trading,Company,0,0,0,False,False,3,12
136,Guarded,Company,0,0,0,False,False,1,12
137,Baypalm Pty Limited,Company,1,0,0,False,False,3,12
138,Tropickist,Company,0,0,0,False,False,1,12
139,Pegasus Trading Pty Ltd,Company,1,0,0,False,False,4,12
140,Superfund Asset Management GmbH,Company,1,0,0,False,False,4,12
141,AGRANA ZHG Zucker Handels GmbH,Company,1,0,0,False,False,5,12
142,Polymer Competence Center Leoben GmbH,Company,1,0,0,False,False,5,12
143,Schienen-Control Österreichische Gesellschaft für Schienenverkehrsmarktregulierung,Company,0,0,0,False,True,6,12
144,Buwog - Immobilien Beteiligungs GmbH & Co KG,Company,1,0,0,False,True,8,12
145,Giroleasing-Mobilienvermietungs­gesellschaft m.b.H.,Company,0,0,0,False,True,5,12
146,Quint Z Immobilien Leasing Gesellschaft m.b.H.,Company,0,0,0,False,True,8,12
147,Theaterholding Graz / Steiermark GmbH,Company,1,0,0,False,True,5,12
148,IEV Immobilien GmbH,Company,1,0,0,False,False,3,12
149,Immorent-Trias Grundverwertungs­gesellschaft m.b.H.,Company,0,0,0,False,True,6,12
150,Telekom Projektentwicklungs GmbH,Company,1,0,0,False,False,3,12
151,Play Seven Ltd,Company,1,0,0,False,False,3,12
152,HAELA Abfallverwertung GmbH,Company,1,0,0,False,False,3,12
153,RIECADO Regional Energy Capacity Auction Data Operator,Company,0,0,0,False,False,7,12
154,KAPO Möbelwerkstätten,Company,0,0,0,False,False,2,12
155,Gerber GesmbH,Company,0,0,0,False,False,2,12
156,Rainbow Home Entertainment Gesellschaft mbH,Company,0,0,0,False,False,5,12
157,FIMBAG – Finanzmarktbeteiligung Aktiengesellschaft des Bundes,Company,0,0,0,False,True,6,12
158,PayLife Bank GmbH,Company,1,0,0,False,False,3,12
159,OTAKAR Handels GmbH,Company,1,0,0,False,False,3,12
160,Salyan Kəndnəqliyyat,Company,0,0,0,False,False,2,12
161,Azerbaijan John Brown CJSC,Company,0,0,1,False,False,4,12
162,Museum of the Customs History,Company,0,0,0,False,False,5,12
163,Economic Studies Research Institute of the Azerbaijan State University of Economics,Company,0,0,1,False,False,11,12
164,Əli Bayramlı Quraşdırma,Company,0,0,0,False,False,3,12
165,H.Z. Tağıyev adına Toxucu Tikiş Sənaye Kombinatı,Company,0,0,0,False,True,8,12
166,Bərdə-Xidmət,Company,0,0,0,False,True,2,12
167,Zaqatala Tütün,Company,0,0,0,False,False,2,12
168,Mingəçevir-Sənaye-Kombinatı-1,Company,0,1,0,False,True,4,12
169,Beylagan Agricultural Enterprises Limited Liability Company,Company,1,0,0,False,False,6,12
170,ACSC Logistics LLC,Company,1,0,0,False,False,3,12
171,Kapital Bank,Company,0,0,0,False,False,2,12
172,Bakı Elektriktökmə,Company,0,0,0,False,False,2,12
173,ASC Aqrolizinq,Company,0,0,0,False,False,2,12
174,Inter Travel Club,Company,0,0,0,False,False,3,12
175,Institute of Geology and Geophysics,Company,0,0,0,False,False,5,12
176,AzTurqaz,Company,0,0,0,False,False,1,12
177,Salyan Pambıq,Company,0,0,0,False,False,2,12
178,SOCAR Upstream Management International LLC,Company,1,0,0,False,False,5,12
179,Hövsan Olimpiya İdman Kompleksi MMC,Company,0,0,0,False,False,5,12
180,Sual Partners Ltd.,Company,1,0,0,False,True,3,12
181,Royal Bank of Canada Trust Company (Bahamas),Company,1,0,1,False,True,7,12
182,Nassau Airport Development Company Limited,Company,1,0,1,False,False,5,12
183,Lloyds Trust Bank,Company,0,0,0,False,False,3,12
184,"Worldwide Commodities, Ltd",Company,1,0,0,True,False,3,12
185,International Investments Clearing S.A,Company,1,0,0,False,True,5,12
186,Nassau Airport Development,Company,1,0,1,False,False,3,12
187,Sabadell Atlantico Private Offshore Bank Bahamas,Company,0,0,1,False,False,6,12
188,Universal Alliance Company,Company,1,0,0,False,False,3,12
189,Bank of The Bahamas,Company,0,0,1,False,False,4,12
190,Ardent Offshore,Company,0,0,0,False,False,2,12
191,Warwick Ventures,Company,0,0,0,False,False,2,12
192,"Tiffany Group International, Ltd.",Company,1,0,0,True,True,4,12
193,Macro Bank,Company,0,0,0,False,False,2,12
194,"Merrill Scott & Associates, Ltd.",Company,1,0,0,True,True,5,12
195,Broadcasting Corporation of The Bahamas (BCB),Company,1,0,1,False,True,6,12
196,Corporation Pharmaceutique Nymox,Company,1,0,0,False,False,3,12
197,Quest Capital Enterprises Ltd.,Company,1,0,0,False,True,4,12
198,IV Fund,Company,0,0,0,False,False,2,12
199,BM International Bank & Trust,Company,0,0,0,False,True,5,12
200,Bahrain National Gas Company B.S.C. Closed,Company,1,0,1,False,True,8,12
201,Gulf Air B.S.C. (c),Company,1,0,0,False,True,6,12
202,Turner Real Estate Development and Investments,Company,1,0,0,False,False,6,12
203,Technal Middle East LLC,Company,1,0,0,False,False,4,12
204,Bilad Al-Kadem Health Center,Company,0,0,0,False,True,5,12
205,Asgharali,Company,0,0,0,False,False,1,12
206,Ikarus Industrial Holding Company S.P.C,Company,1,0,0,False,True,7,12
207,Bahrain Export Development Center Company SPC,Company,1,0,1,False,False,6,12
208,Muharraq STP Company BSC (c),Company,1,0,0,False,True,5,12
209,Ipso Holdings B.S.C. (C),Company,1,0,0,False,True,6,12
210,Al Ahli Real Estate Company SPC,Company,1,0,0,False,False,6,12
211,Al-Razi Health Center,Company,0,0,0,False,True,4,12
212,Riffa Views,Company,0,0,0,False,False,2,12
213,National Bank of Bahrain,Company,0,0,1,False,False,4,12
214,Bahrain Food Holding Company S.P.C,Company,1,0,1,False,True,7,12
215,Al Safir Hotel & Tower,Company,0,0,1,False,True,5,12
216,Esterad RealInvest 1 WLL,Company,0,1,0,False,False,4,12
217,Mannai Construction,Company,0,0,0,False,False,2,12
